timestamp,test_type,packet_size,duration_seconds,packets_sent,packets_received,bytes_sent,bytes_received,send_calls,recv_calls,partial_sends,partial_recvs,errors,runtime_ns,throughput_mbps,packets_per_second
2026-07-22 17:31:51,TCP,1024,30,3358535,0,3519744680,0,3358535,0,0,0,1,30000440926,938.584786,111949.521285
2026-07-22 17:32:26,TCP,1500,30,2308370,0,3517955880,0,2308370,0,0,0,1,30000402167,938.108992,76944.635180
2026-07-22 17:33:01,TCP,1500,30,2308712,0,3518477088,0,2308712,0,0,0,1,30000402556,938.247967,76956.034030
2026-07-22 17:33:36,TCP,1500,30,2309203,0,3519225372,0,2309203,0,0,0,1,30000414704,938.447127,76972.369308
2026-07-22 17:34:11,TCP,1500,30,2309214,0,3519242136,0,2309214,0,0,0,1,30000446167,938.450613,76972.655245
2026-07-22 17:34:46,TCP,1500,30,2309195,0,3519213180,0,2309195,0,0,0,1,30000503353,938.441102,76971.875199
2026-07-22 17:35:21,TCP,1500,30,2309234,0,3519272616,0,2309234,0,0,0,1,30000385575,938.460636,76973.477365
2026-07-22 17:35:56,TCP,1500,30,2309497,0,3519673428,0,2309497,0,0,0,1,30000406778,938.566855,76982.189511
2026-07-22 17:36:31,TCP,1500,30,2307943,0,3517305132,0,2307943,0,0,0,1,30000497982,937.932466,76930.156339
2026-07-22 17:37:06,TCP,1500,30,2308262,0,3517791288,0,2308262,0,0,0,1,30000411982,938.064795,76941.010056
2026-07-22 17:37:41,TCP,1500,30,2308176,0,3517660224,0,2308176,0,0,0,1,30000339278,938.032118,76938.329884
