timestamp,test_type,packet_size,duration_seconds,packets_sent,packets_received,bytes_sent,bytes_received,send_calls,recv_calls,partial_sends,partial_recvs,errors,runtime_ns,throughput_mbps,packets_per_second
2026-07-22 17:31:51,TCP,1024,30,0,3350849,0,3511689752,0,3350849,0,0,0,30000101537,936.447431,111694.588629
2026-07-22 17:32:26,TCP,1500,30,0,2304242,0,3511664808,0,2304242,0,0,0,30000009964,936.443638,76808.041156
2026-07-22 17:33:01,TCP,1500,30,0,2304242,0,3511664808,0,2304242,0,0,0,30000087963,936.441203,76807.841458
2026-07-22 17:33:36,TCP,1500,30,0,2304242,0,3511664808,0,2304242,0,0,0,30000083112,936.441354,76807.853878
2026-07-22 17:34:11,TCP,1500,30,0,2304242,0,3511664808,0,2304242,0,0,0,30000026186,936.443131,76807.999624
2026-07-22 17:34:46,TCP,1500,30,0,2304252,0,3511680048,0,2304252,0,0,0,30000053037,936.446357,76808.264211
2026-07-22 17:35:21,TCP,1500,30,0,2304234,0,3511652616,0,2304234,0,0,0,30000011056,936.440352,76807.771694
2026-07-22 17:35:56,TCP,1500,30,0,2304242,0,3511664808,0,2304242,0,0,0,30000091185,936.441102,76807.833209
2026-07-22 17:36:31,TCP,1500,30,0,2304252,0,3511680048,0,2304252,0,0,0,30000110093,936.444576,76808.118132
2026-07-22 17:37:06,TCP,1500,30,0,2304250,0,3511677000,0,2304250,0,0,0,30000000612,936.447181,76808.331766
2026-07-22 17:37:41,TCP,1500,30,0,2304242,0,3511664808,0,2304242,0,0,0,30000016630,936.443430,76808.024089
